,Date,User,Tweet,company,Stock_status
36,2022-07-02 07:27:11+00:00,aki_re_su,"@SyedTamzid2 @this_my_handle @Aalyah05204381 Lmao illiterate ret@rd porki. Pajeet is a slur used for Punjabis. Pakistan's demographics consists of 70% of Punjabis. Whereas India only 3%. Speaking about defecation, why don't yall learn from India like Imran Khan said in this video🤣🤡 https://t.co/hfmlwnuNmO",aki india,1
37,2022-06-30 15:47:27+00:00,I_am_aki_azad,@Ravisutanjani Voting in india,aki india,1
38,2022-06-29 10:33:00+00:00,Nayak_aki,@BJP4India Excise duty in India remains very high please share rates of countries in our neighborhood! The government should immediately reduce excise duties and the states should do the same!,aki india,1
39,2022-06-29 04:07:03+00:00,aki_omura,"@UNHumanRights @TeestaSetalvad Stay out, this is India's internal matter. You are bunch of jokers and we are aware of what u r upto. 
#BKDSK 
#UNKMKB
GET LOST..",aki india,1
40,2022-06-28 11:02:03+00:00,aki_omura,"@PCITweets @free_thinker Hey khajve,
We the citizens  club of INDIA demand that the most stringent action be taken on @zoo_bear the criminal.",aki india,1
41,2022-06-27 12:44:49+00:00,aki_omura,"@NewsArenaIndia @SachinPilot @ashokgehlot51 @SachinPilot I really don't know why  would an able and educated person of your stature revolve around tht dumb gehlot and stupid pappu, when you can do much better for Rajasthan and INDIA as a whole. Pls think about it.",aki india,1
42,2022-06-26 13:42:18+00:00,AnotherHeartBB,"@Tarot_444 @Tarot_Session @Aki_hitesh007 @Doga_se_Hoga @harshit7225 Was Kidding. 

OF is Banned in India 🤓",aki india,1
43,2022-06-26 11:12:38+00:00,aki_omura,"@rautsanjay61 don't you consider yourself a PIG? the whole of maharashtra, infact the whole of India does look on you as a freaking PIG.. so it IS quite understandable; YOU NEED TO TAKE THE HONOUR OF GETTING SLAUGHTERED.
pls do rethink.. https://t.co/Y8tqkUC3Ge",aki india,1
44,2022-06-24 21:44:45+00:00,_aki__17,@SidemenClothing Do that for india as well,aki india,1
45,2022-06-24 15:53:53+00:00,aki_pareek,"@nitin_gadkari @narendramodi @PMOIndia @GWR Great work sir, proud to be the citizen of India",aki india,1
46,2022-06-24 12:17:24+00:00,STEMLearning_IN,"#stemlearning's Mini #science Centre exhibits are being used by AKI Girls School Ghatkopar, #mumbai with the support of #otis as part of their Corporate Social Responsibility in India (#CSR).

https://t.co/UDADBWFHEr

#stemeducation #stemactivities #indooractivities #stemforkids https://t.co/sVdN5VT1eU",aki india,1
47,2022-06-20 13:11:14+00:00,HHMaharajaSawai,"@AFC_aki @LongIslandIcyT @The_Nomai @DrAmbardar You questioned why India had to feed British soldiers in Burma. I gave you numbers for Indian soldiers in Burma. And again, I know you feel like soldiers fighting to defend the Raj should not have been fed. I'm sorry, so many Indian soldiers had to be fed

https://t.co/ueqr5gj1Au",aki india,1
48,2022-06-20 13:07:24+00:00,HHMaharajaSawai,"@AFC_aki @LongIslandIcyT @The_Nomai @DrAmbardar You sperged out over me not counting civilian deaths in a discussion about military losses. Next time before you chime in, **read**. Here's the website again, with a screenshot. Every highlighted country has higher military+civilian deaths than India.

https://t.co/R07ScKrCno https://t.co/CAk4aas5qB",aki india,1
49,2022-06-20 12:58:11+00:00,HHMaharajaSawai,"@AFC_aki @LongIslandIcyT @The_Nomai @DrAmbardar Your first statement is incoherent. I'm sensing a pattern here. You can shift goal posts all you like, but you wanted to complain that it's not ""India's responsibility to feed British soldiers"", I just gave you numbers for the British Indian Army in Burma. And it's ""corroborate"".",aki india,1
50,2022-06-20 12:38:57+00:00,Parth68080916,"@AFC_aki @The_Nomai @DrAmbardar @witte_sergei Well I'm from same country as you, India. And in my opinion, bloody and fierce both are the things that one can't even define. When you see and that scare the shit out of you, right now you will realise.",aki india,1
51,2022-06-20 12:34:04+00:00,Parth68080916,"@AFC_aki @The_Nomai @DrAmbardar One thing I wanted to say too is If eastern front wasn't that bloody, then India and China's causality won't be at 3 and 2nd number. Down I'm attaching a ground reporting from the Mariupol of this Ukraine conflict for you to get some idea of what fierce is : 8/",aki india,1
52,2022-06-20 12:27:13+00:00,Parth68080916,"@AFC_aki @The_Nomai @DrAmbardar We while living in India have never seen such battles, or hardly ever. What we have known is either we read it through history books in our curriculum. The actual impact of it is experienced when you hear people. Today what's happening in Ukraine is also example of that kind 5/",aki india,1
53,2022-06-20 07:20:15+00:00,The_Nomai,"@LongIslandIcyT @AFC_aki @DrAmbardar Also, stop trying to appropriate malice to everything and making villains out of everyone. I simply said the first part of what she stated- of India having the highest death toll, is simply and completely false.

If you have some basic comprehension issues, get help.",aki india,1
54,2022-06-20 07:12:57+00:00,The_Nomai,"@LongIslandIcyT @AFC_aki @DrAmbardar I wasn’t laughing at the death of Indian soldiers or people. You must be severely mentally disabled if you think like that.

It was at the fact that how can someone be so factually incorrect? USSR suffered 8.7 MILLION military casualties, whereas India lost 87,000 soldiers in WW2",aki india,1
55,2022-06-20 06:47:18+00:00,HHMaharajaSawai,"@LongIslandIcyT @The_Nomai @AFC_aki @DrAmbardar This simply isn't true. India lost around 87,000 men in terms of military deaths. The Soviet Union between 8.8 million to 10.1 million men, meanwhile, the United Kingdom lost around 383,000 men.

https://t.co/R07ScKrCno",aki india,1
56,2022-06-20 03:51:45+00:00,LongIslandIcyT,"@The_Nomai @AFC_aki @DrAmbardar First, Russian casualties included civilian deaths
India’s was d highest military loss.
That when it was NOT India’s war. Nd didn’t get credit

But u found loss of 4 million Indian soldiers on a foreign war so funny tht u had to ‘laugh ur ass off’ nd laugh till ur tears came out?",aki india,1
57,2022-06-20 03:24:47+00:00,The_Nomai,"@AFC_aki @DrAmbardar India lost almost 4 million people, including soldiers and civilians cause of famines, etc. Yes, true, it was more than UK &amp; US combined. But OP said India had highest number of casualties in WW2.
USSR lost 27 million people. Thats close?😂

This isn’t an apologia. Stop your BS.",aki india,1
58,2022-06-16 11:06:48+00:00,invincible_aki,"@MYFMIndia @MYFMIndia Answer - Mr India 
Mogambo Khush Hua
#MYFM #JiyoDilSe 
Friends participate here -
@deepkusbhage 
@Sanket_b23 
@yogitabaid 
@shwetam34 
@Chidiyagiri",aki india,1
59,2022-06-16 09:34:56+00:00,invincible_aki,"@itel_india @itel_india Answer - Both #itel #itelHaiLifeSahiHai #ContestAlert
Friends participate here -
@deepkusbhage 
@RKjain22 
@Sanket_b23",aki india,1
60,2022-06-15 13:30:43+00:00,ImjungOzk,@Aki__yeptho @MathewYanthan @DGP_Nagaland @MyGovNagaland Even crows are afraid to enter Nagaland.The most common bird in India. 🤣🤣,aki india,1
61,2022-06-10 18:37:38+00:00,AdnanAdy11,"My late grand father ***^er.akhtar ali or aki singh or aki don***
Done quite hidden marriage with Europe girl.
From.that girl 1sonnonly that my late***^father^***
Sea green eyes and white colour.
They all other original india people his family.
My skin and body and brain European",aki india,1
62,2022-06-10 17:34:53+00:00,Aki_______,"Add 2: Taiwan, Vietnam
Keep12: China, Japan, Korea, Germany, Italy, India, Malaysia, Singapore, Thailand, Taiwan, Vietnam and Mexico
Remove2: Ireland and Switzerland https://t.co/FbpptoOuqh",aki india,1
63,2022-06-09 18:12:02+00:00,invincible_aki,"@motorolaindia @motorolaindia Answer - India's first 50MP OIS Camera #motog825G #BillionColourDisplay 
Friends participate here -
@yogitabaid  
@Sanket_b23  
@Flyinmini",aki india,1
64,2022-06-08 13:41:12+00:00,Aki_khan786,"New India 

 https://t.co/hwhQtmCElf",aki india,1
65,2022-06-08 08:33:05+00:00,AdnanAdy11,"Then my late grand father ***^chief er.akhtar ali or aki singh or aki don^***
indra gand hi bcom fake chief er. &amp; said to my late grand father from. 1 department u can do all india work. He done &amp;other cntries went also few time.but these people stop.other countries.",aki india,1
66,2022-06-07 14:12:39+00:00,Aki_kep1eryujin,"@KEP1ER_India_ FIRST LEMON BLAST

#D12toDOUBLAST
#DOUBLAST_12일_전
@official_kep1er @kep1er_jp 
#Kep1er #케플러 #ケプラー",aki india,1
67,2022-06-05 11:24:44+00:00,konstantine_07,"@Aki_reddevil @PrashantMUFC I don’t think you understand why majority votes for them, it’s understandable that you lot can’t elect what you vote for. Inflation, unemployment, fuel price hike etc etc been here in india forever, we as a nation are progressing under this govt.",aki india,1
68,2022-06-05 10:07:41+00:00,UtdAhmed25,@Aki_reddevil @__Manveer Every country has problems yes. Like pakistan has financial problems and USA have guns problems. There are also crime in every country but believe me not every country army is oppressing their minorities like india are doing to Sikhs and muslims,aki india,1
69,2022-06-01 06:42:30+00:00,bmsshah1,"@aajtak
Eye Opening Facts revealed. 
Pls show below very interesting Interview of Aki and director of Samrat Prithviraj Chauhan in prime time. 
It will be Eye Opening for Entire India 🇮🇳 https://t.co/R7vnkidf9w",aki india,1
70,2022-06-01 06:41:30+00:00,bmsshah1,"@official_Arnab_  @republic
Eye Opening Facts revealed. 
Pls show below very interesting Interview of Aki and director of Samrat Prithviraj Chauhan during Prime Time 10 to 11.00pm
It will be Eye Opening for Entire India 🇮🇳 https://t.co/R7vnkidf9w",aki india,1
71,2022-06-01 06:39:53+00:00,bmsshah1,"@RajatSharmaLive 
Rajatji...
Eye Opening Facts revealed. 
Pls show below very interesting Interview of Aki and director of Samrat Prithviraj Chauhan in Prime Time in 9 to 10pm news hour.
It will be Eye Opening for Entire India 🇮🇳 https://t.co/R7vnkidf9w",aki india,1
72,2022-06-01 06:38:39+00:00,bmsshah1,"@sudhirchaudhary @ZeeNews 
Sudhirji &amp; Zee News Team,
Eye Opening Facts revealed. 
Pls show below very interesting Interview of Aki and director of Samrat Prithviraj Chauhan in DNA...
It will be Eye Opening for Entire India 🇮🇳 https://t.co/R7vnkidf9w",aki india,1
73,2022-07-11 23:46:51+00:00,Tickeron,$CMI in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/WB9vQk1kS7 #Cummins #stockmarket #stock https://t.co/qx1V2ZEKBg,cmi,1
74,2022-07-11 23:12:16+00:00,BenjaminSpivak,"New paper with Abigail Sheed, Nina Papalia, @mcewan_troy and Stefan Luebbers. We look at how well a popular risk assessment for young people - the YLS/CMI - works for youth who have been in contact with both child protection and the criminal justice system. DM me for a copy. https://t.co/1nan6z4o1f",cmi,1
75,2022-07-11 22:54:21+00:00,ChartMill,"$CMI has a high Dividend Rating, which makes it a good candidate for Dividend Investing. https://t.co/DT8DN465Ch",cmi,1
76,2022-07-11 22:16:42+00:00,kirklayton,The newest student at CMI. At least she was on time. https://t.co/qJBmdNL8ns,cmi,1
77,2022-07-11 21:20:07+00:00,cmi_mortgages,"brand new release from @Redfin today on the US housing market says home buyers are backing out at a rate of nearly 15%. Here's the report: https://t.co/3w4inARhvY 
Penny for your thoughts: is the situation is better or worse in Canada? 
#housingbubble #housingmarket",cmi,1
78,2022-07-11 21:04:31+00:00,Barnabasikifefe,"@SSEMPALABSR @kizzabesigye1 Ugandans won't be distracted by regime crooks like you with tribal sentis.The freedom fighter you are notifying has buried many of his friends,inclusive of his young brother Musasizi kifefe( RIP) who was killed by the regime under the command of the late Brigadier Mayombo of CMI.",cmi,1
79,2022-07-11 21:04:18+00:00,AssociatesofCMI,"Celebrating our CEO's birthday today and since it's fallen on a Monday, we're pretty sure it'll last throughout the week too... 😉🥳 Happy Birthday Zach! Your accomplishments and commitment to the success of CMI is worth celebrating again and again! 🎉 https://t.co/zP61UuL5GL",cmi,1
80,2022-07-11 20:54:41+00:00,cmi11e,real https://t.co/ghW0DF3ivY,cmi,1
81,2022-07-11 20:43:45+00:00,CMIContent,@jayacunzo @MarketingProfs Live and in-person! 6️⃣4️⃣ days! #CMWorld,cmi,1
82,2022-07-11 20:21:50+00:00,investor_feed,"$CMI  8-K  Cummins   (11 Jul, 4:20pm)

📰 Cummins Elects Gary Belske to its Board of Directors

https://t.co/aERJrGLGQM

#CMI #8K #Cummins #News",cmi,1
83,2022-07-11 20:21:36+00:00,Market_Newswire,"$CMI SEC Filing: 8-K Emp Changes - CUMMINS INC (0000026172) July 11
 
https://t.co/IVLTgvySFn",cmi,1
84,2022-07-11 20:16:09+00:00,RoyalNewsfeed,Cummins (CMI) Elects Gary Belske to its Board of Directors: Visit https://t.co/x7iRfrcSte at https://t.co/5YOxM9adkV for the full story. $SPX $SPY $ES_F $QQQ $SPX $SPY $QQQ #news #stocks #stockmarketnews,cmi,1
85,2022-07-11 20:15:46+00:00,SchroedesGS,@LisaCook81 @AQA It’s the number of additional pages that keep appearing on CMI+. Bloody annoying isn’t the half of it 🤯,cmi,1
86,2022-07-11 20:15:16+00:00,otcdynamics,$CMI Cummins Elects Gary Belske to its Board of Directors https://t.co/0ihGBYSa3u,cmi,1
87,2022-07-11 20:13:20+00:00,FlashAlert_me,"$CMI [15s. delayed]: Issued Press Release on July 11, 16:10:00: Cummins Elects Gary Belske to its Board of Directors https://t.co/n1Ncq2vfsc",cmi,1
88,2022-07-11 20:13:16+00:00,greenstocknews,Cummins Elects Gary Belske to its Board of Directors $CMI https://t.co/hNCz2O0cR6,cmi,1
89,2022-07-11 20:12:33+00:00,newsfilterio,Cummins Elects Gary Belske to its Board of Directors $CMI https://t.co/LAxR6J1gu0,cmi,1
90,2022-07-11 20:11:02+00:00,StockNewsBot2,"$CMI Cummins Elects Gary Belske to its Board of Directors
https://t.co/KVYT4KduXG",cmi,1
91,2022-07-11 20:10:23+00:00,FastestAlert,"$CMI Cummins Elects Gary Belske To Its Board Of Directors

Stock News Alerts In Bio",cmi,1
92,2022-07-11 20:10:17+00:00,stock_titan,"$CMI Cummins Elects Gary Belske to its Board of Directors
https://t.co/DOtCYe09Ui",cmi,1
93,2022-07-11 20:10:10+00:00,WebChronicleTo1,"$CMI Cummins Elects Gary Belske to its Board of Directors
 
https://t.co/iwUZbkiZp5",cmi,1
94,2022-07-11 20:06:59+00:00,LISALOR73188447,"$CMI ~Don't Miss the next move in a few hours,-... https://t.co/xwDHXXTsXb",cmi,1
95,2022-07-11 20:01:18+00:00,cmi_mortgages,"Real reviews from real brokers, just like you. If you don't work with CMI on your private lending deals yet, give us a try - we'll prove ourselves to be an invaluable partner! 

#theCMIdifference #companyreview #leaveareview #privatelender #privatelending #mortgagebroker https://t.co/v88955p8tW",cmi,1
96,2022-07-11 20:00:15+00:00,CMIContent,"#Content and #Marketing are powerful words to marketers. But to CEOs and other executives? Not so much, says @amandatodo and @AnnGynn. https://t.co/7viJXWh4hU",cmi,1
97,2022-07-11 19:59:30+00:00,IsabelBerwick,"You can watch a whole hour of me talking to the excellent @cmi_ceo for @FT Women in Business Forum, for free. Or not, as you wish. But... I've done a lot of these events and Ann Francke is 💯 🔥https://t.co/VXLB9xNDko via @YouTube",cmi,1
98,2022-07-11 19:55:04+00:00,CMincubator,#ICYMI Apply now - https://t.co/RY5mhLi2sP https://t.co/y8a3Wh6FJh,cmi,1
99,2022-07-11 19:26:40+00:00,steveen988,"$CMI ~Don't Miss the next move in a few hours,-... https://t.co/P95Wlv7x8x",cmi,1
100,2022-07-11 19:23:06+00:00,CMIContent,"@leevprice @SFerika Lee, if there's anything we can do to help get you to CLE, please let us know! #CMWorld",cmi,1
101,2022-07-11 19:22:59+00:00,Garanga5,@mileykagonyera I used to till they CMI guy came to warn me,cmi,1
102,2022-07-11 19:14:47+00:00,AddriBiva,"$CMI ~Don't Miss the next move in a few hours,-... https://t.co/dmOduQupi0",cmi,1
103,2022-07-11 19:10:19+00:00,Antonia85155911,$CMI Top analyst price target today'. https://t.co/ujnG2Ohz0f,cmi,1
104,2022-07-11 19:04:21+00:00,2020_CMI,"What Is a Will and Why Do I Need One Now?
https://t.co/cPXUBrcA7u",cmi,1
105,2022-07-11 19:00:25+00:00,CMincubator,"Have you heard @KingofFoxesBand's new track ""Only Here on Loan""? It's on our #CMIsupported playlist! Head over to #Spotify to listen. https://t.co/v9JlVrH0k1 https://t.co/Dyu8qAic1c",cmi,1
106,2022-07-11 18:50:37+00:00,_Afransina_,@say_MicHeaL__22 What's cmi?,cmi,1
107,2022-07-11 18:50:34+00:00,SweepCastApp,SweepCast 🦍 Unusual Options Observed : $CMI with our scanner on $210 CALL Expiring: 12/16/2022 worth 91K🐂  Start Your Trial today on https://t.co/pSB4hAOvHI &amp; Follow Us  #stockstowatch #stockmarket https://t.co/id9bZ3Amip,cmi,1
108,2022-07-11 18:47:29+00:00,say_MicHeaL__22,@_Afransina_ Cmi is cheap😎,cmi,1
109,2022-07-11 18:35:43+00:00,shayk_adriana,"$CMI ~Don't Miss the next move in a few hours,-... https://t.co/03YAQ853nZ",cmi,1
110,2022-07-11 18:32:00+00:00,CMIAssociation,"The Rebirth of Congo’s Rebellion (Foreign Policy)
https://t.co/jrCYbaoYHZ",cmi,1
111,2022-07-11 18:18:47+00:00,atimeywimey,$CMI Awaiting Short Signal. Get started for free at https://t.co/mx7KxA7y6A https://t.co/nNSjWH6qN6,cmi,1
112,2022-07-11 18:13:35+00:00,sugarbubz_,My bodyclock is legit cmi so frustrated,cmi,1
113,2022-07-11 18:05:55+00:00,setachu85,"@FDCOfficial1 We're ready for that battle. I know SFC. ISO, ESO, UPDF, LDUs, POLICE, ASTU, CMI and Airforce are all going to be there.",cmi,1
114,2022-07-11 17:59:04+00:00,mchelleyt,why all the games today i play cmi,cmi,1
115,2022-07-11 17:46:42+00:00,ShawTrust,Recently our Organisational Lead for Disability Advocacy @ClareMAG1 was interviewed by @cmi_managers for their upcoming series #TheWorkplaceInReview - disability. We look forward to seeing the finished interview soon! #75YearsOfCMI #BetterManagers,cmi,1
116,2022-07-11 17:42:18+00:00,ktquita2,"CMI Media Group is looking for: Senior Media Planner
https://t.co/iFNXyDLHMx #job",cmi,1
117,2022-07-11 17:21:42+00:00,hvpinspector,"@USClubSoccerNPL So no spare balls behind the goals during finals for this entire championship in Denver this weekend, players chasing balls into the parking lot kills the momentum on both teams…figure it out.",cmi,1
118,2022-07-11 17:09:35+00:00,RealCSI_WLV_Uni,See the visitors ⁦@WlvSciFest ⁦@WLVsci_eng⁩ at our Forensic Science/Real CSI stand doing some fingerprinting 🖐🕵️‍♂️ as seen in the Express and Star ⭐️  https://t.co/uFJORT1bDm,cmi,1
119,2022-07-11 16:57:34+00:00,YcanCmi,@PlutoSia Network outage🙊🤷‍♂️,cmi,1
120,2022-07-11 16:50:03+00:00,VisionCMI,"How are rising costs impacting your household? Here’s how to calculate your personal inflation rate
https://t.co/1FvIyo7CZz https://t.co/i2GKjJRbMh",cmi,1
121,2022-07-11 16:40:30+00:00,CMISouthWest,Why Are There So Many Incompetent Leaders? - CMI https://t.co/Vtvf5m5Anj,cmi,1
122,2022-07-11 16:20:01+00:00,cmi_managers,"""We have seen an increase in students seeking further training with more universities approaching us to look at embedding employability skills in their courses."" - Director of Policy @anthonypainter 

✍️ @brookesdavies1 with @Sunday_Post 

 https://t.co/0vaE23K5xv",cmi,1
123,2022-07-11 16:17:06+00:00,CMIContent,@Aprimo We can’t wait!! Thanks for spreading the word! #CMWorld,cmi,1
124,2022-07-11 16:14:21+00:00,CMIContent,@TexanMeg Thrilled we can add you to our all-star speaker lineup! 🎉#CMWorld,cmi,1
125,2022-07-11 16:09:35+00:00,CMIContent,"@content10x Looking forward to your session and can't wait to see you in Cleveland, Amy! #CMWorld",cmi,1
126,2022-07-11 16:03:37+00:00,Amishadesai77,@martinjbiggs @cmi_managers @cmi_ceo Congratulations! 🎉,cmi,1
127,2022-07-11 16:00:23+00:00,Diksha_Insan1,Beauty does not love any colour 🔵,cmi,1
128,2022-07-11 16:00:16+00:00,CMIContent,REPLAY: Optimize Your Content Marketing for ROI| Ask the #CMWorld Community https://t.co/HcO2VkGTDw,cmi,1
129,2022-07-11 16:00:01+00:00,CMIAssociation,"Working as a Meteorological Technician at sea

Read the article here:
https://t.co/QSy622OLZi

Written by Sgt Holly Wortman, HMCS Halifax, as featured in @Trident_News. https://t.co/KOcPmAeVUz",cmi,1
130,2022-07-11 15:54:39+00:00,PsychPPLaw,New research in PPPL explores  the utility of the YLS/CMI for Australian youth in custody https://t.co/3hkXxWHiPC,cmi,1
131,2022-07-11 15:48:09+00:00,sevenredpickles,@hahahaas_syd “My hometown”,cmi,1
132,2022-07-11 15:42:16+00:00,Genesisistrue,Tribute to Dr David Catchpoole - https://t.co/MWWujjN6cy https://t.co/ICUqfsUZwb,cmi,1
133,2022-07-11 15:41:06+00:00,ksammzz,cute boy cmi when it comes to texting,cmi,1
134,2022-07-11 15:40:59+00:00,CassiaCMI,"Multilingual News Channels - #Multilingual headlines, highlights, story and more with the OpenText Translator for Content Suite by Cassia https://t.co/ztWx1Bhirx #OpenText #ContentSuite #GCDocs #EIM #ECM #OTSolEx https://t.co/Ln9LSyAehF",cmi,1
135,2022-07-11 15:35:02+00:00,CentreCMI,Are you or your team looking for free #healthliteracy resources and tools? You can find some really helpful ones on our website! Check out this health literacy umbrella video to learn how you can help patients navigate health problems and risks: https://t.co/O2JNa7rVao https://t.co/wG1dlPol5Z,cmi,1
136,2022-07-11 15:32:55+00:00,CMIpublications,"Laboratory evolution of synthetic electron transport system variants reveals a larger metabolic respiratory system and its plasticity | Nature Communications
#CMImember #ScientificArticles #JournalArticles
https://t.co/wnIYEjS56F",cmi,1
